SCHOOL_ID,SCHOOL_SHORT_NAME,RCDTS_CODE
610569,OMBUDSMAN - NORTHWEST HS,150162990253800
610570,OMBUDSMAN - SOUTH HS,150162990253800
610571,OMBUDSMAN - WEST HS,150162990253800
400137,LITTLE BLACK PEARL HS,150162990253804
400175,CAMELOT - EXCEL SOUTHSHORE HS,150162990253805
400176,CAMELOT - EXCEL SOUTHWEST HS,150162990253806
400134,YCCS - ADDAMS,15016299025004C
400125,YCCS - ASPIRA PANTOJA,15016299025004C
400126,YCCS - ASSOCIATION HOUSE,15016299025004C
400127,YCCS - AUSTIN CAREER,15016299025004C
400131,YCCS - CAMPOS,15016299025004C
400128,YCCS - CCA ACADEMY,15016299025004C
400150,YCCS - CHATHAM,15016299025004C
400133,YCCS - INNOVATIONS,15016299025004C
400135,YCCS - LATINO YOUTH,15016299025004C
400124,YCCS - MCKINLEY,15016299025004C
400136,YCCS - OLIVE HARVEY,15016299025004C
400129,YCCS - PROGRESSIVE LEADERSHIP,15016299025004C
400123,YCCS - SCHOLASTIC ACHIEVEMENT,15016299025004C
400139,YCCS - SULLIVAN,15016299025004C
400141,YCCS - TRUMAN,15016299025004C
400142,YCCS - VIRTUAL,15016299025004C
400143,YCCS - WEST TOWN,15016299025004C
400144,YCCS - WESTSIDE HOLISTIC,15016299025004C
400145,YCCS - YOUTH CONNECTION,15016299025004C
400130,YCCS - YOUTH DEVELOPMENT,15016299025004C
400164,INSTITUTO - LOZANO MASTERY HS,15016299025020C
609775,ALTGELD,150162990252055
610156,"ARMSTRONG, L",150162990252188
609781,ATTUCKS,150162990252061
610265,BANNEKER,150162990252065
610365,BETHUNE,150162990252084
610161,BONTEMPS,150162990252771
610280,BUCKINGHAM,150162990253758
610243,CALHOUN,150162990252114
610018,CANTER,150162990252845
610309,CHICAGO DISCOVERY HS,150162990250801
609702,CRANE HS,150162990250008
609881,DELANO,150162990252152
610266,DUMAS TECH ACAD,150162990252176
610320,DUPREY,150162990252869
609736,DYETT HS,150162990250798
609906,EMMET,150162990252189
609916,FERMI,150162990252201
400095,GARFIELD PARK,150162990252956
610324,GLOBAL VISIONS HS,150162990250809
610348,GOLDBLATT,150162990252221
609913,GOODLOW,150162990252812
610283,GUGGENHEIM,150162990252233
610240,HENSON,150162990252261
609989,HERBERT,150162990252262
610020,KEY,150162990252295
610023,KING,150162990252297
610028,KOHN,150162990252301
610031,LAFAYETTE,150162990252305
609765,LAS CASAS OCCUPATIONAL HS,150162990253752
610045,LAWRENCE,150162990252322
610241,MARCONI,150162990252329
610058,MAY,150162990252336
610061,MAYO,150162990252338
610260,MCCORKLE,150162990252340
610072,MORGAN,150162990252047
610085,NEAR NORTH,150162990253157
610277,OVERTON,150162990252388
609932,OWENS,150162990252810
610273,PADEREWSKI,150162990252390
610114,PARKMAN,150162990252393
610119,PEABODY,150162990252397
610395,PERSHING MIDDLE,150162990252940
610134,POPE,150162990252408
610258,PRICE,150162990252411
610150,ROSS,150162990252427
610154,RYERSON,150162990252432
610164,SCHNEIDER,150162990252443
610297,SCHOOL OF LEADERSHIP HS,150162990250806
610310,SCHOOL OF THE ARTS HS,150162990250804
610169,SEXTON,150162990252447
610160,SONGHAI,150162990252439
610187,STEWART,150162990252466
610189,STOCKTON,150162990252470
610205,TRUMBULL,150162990252489
610210,VON HUMBOLDT,150162990252495
610224,WEST PULLMAN,150162990252509
610336,WILIAMS MIDDLE,150162990252932
610232,WILLIAMS ES,150162990252928
610285,WOODS,150162990252216
610233,YALE,150162990252522
